wbid,wbtype,uid,batch
4169745043020925,like,1978644391,2
4169745043020925,like,1290968245,2
4169745043020925,like,2194259045,2
4169745043020925,like,1857147483,2
4169745043020925,like,5843691269,2
4162802971572178,like,1793285030,2
4162802971572178,like,1676140267,2
4162802971572178,like,2431157984,2

4166066915022789,comment,5325565440,2
4166066915022789,comment,1220407074,2
4166066915022789,comment,1305822153,2
4166066915022789,comment,1220407074,2
4166066915022789,comment,5899887324,2
4166066915022789,comment,5566954139,2
4166066915022789,comment,5056285947,2
4166066915022789,comment,1220407074,2
4166066915022789,comment,1220407074,2
4166066915022789,comment,1220407074,2
4166066915022789,comment,5056285947,2
4166066915022789,comment,1305822153,2
4166066915022789,comment,1220407074,2
4166066915022789,comment,2672145682,2
4166066915022789,comment,5096238344,2
4166066915022789,comment,5899887324,2
4166066915022789,comment,1220407074,2
4166066915022789,comment,2672145682,2
4166066915022789,comment,6036318794,2
4166066915022789,comment,1220407074,2
4166066915022789,comment,1220407074,2
4199294841982407,comment,1220407074,2
4199294841982407,comment,5611150947,2
4199294841982407,comment,5352988879,2
4199294841982407,comment,6374948126,2
4172511694222976,comment,1667025097,2
4172511694222976,comment,5139993157,2
4172511694222976,comment,2319693650,2
4172511694222976,comment,1346383552,2
4167234106421686,comment,2944720297,2
4167234106421686,comment,1931636254,2
4167234106421686,comment,2173595383,2
4167234106421686,comment,5457218957,2
4167234106421686,comment,1220407074,2
4167234106421686,comment,3290508232,2
4167234106421686,comment,5409941939,2
4167234106421686,comment,5611150947,2
4167234106421686,comment,5727996644,2
4167234106421686,comment,2809007440,2
4167234106421686,comment,2719112087,2
4167234106421686,comment,3574515087,2
4167234106421686,comment,5992112616,2
4167234106421686,comment,5679748769,2
4167234106421686,comment,5088008316,2
4167234106421686,comment,5325565440,2
4164176316549328,comment,1993803210,2
4164176316549328,comment,1220407074,2
4164176316549328,comment,5679748769,2
4164176316549328,comment,1220407074,2
4164176316549328,comment,2421810363,2
4164176316549328,comment,5056285947,2
4164176316549328,comment,5566954139,2
4164176316549328,comment,5243771527,2
4164176316549328,comment,1220407074,2
